Material_Material_Number_Key,Material_Text,Material_Material_Group_Key,Material_Material_Group_Text,SCHC_1_Key,SCHC_1_Text,Storage_Location_Key_Not_Compounded,Storage_Location,Storage_Type_Key,Storage_Bin_Key,Storage_Bin_Type_Key_Not_Compounded,Stock_material_Blocked_Stock_Key,Stock_material_In_Quality_Insp_Key,Stock_material_Unrestr_use_Stock_Key,Total_Stock,Material_CFSS_UOI_Key,Material_CFSS_UOI_Text,Technical_Auth_Code_Key,Technical_Auth_Code_TA_Environment_Text,SMC_Key,SMC_Desc_Purch_Group_Key,CC_Physical_Inventor_Key_Not_Compounded,GR_Date_Key,Last_Inventory_Date_Key,Last_Movement_Date_Key,Material_CFSS_UOI_Price_Key,Material_Lead_IMA_Key,Material_Stock_Type_Supply_Key,Material_Lead_IMA_Text,Material_Stock_Classification_Key,Material_Stock_Classification_Text,Material_DMC_Key,Material_DMC_Text,Material_Repair_Code_Key,Material_Repair_Code_Text,Material_Plant_View_Serial_No_Profile_Key,Material_Serial_No_Profile_Key,Material_Serial_No_Profile_Text,Test_Case,Status
00-0000079:NSN,"WASHER,FLAT",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,270164J2B,6,0.000 EA,0.000 EA,"1,357.000 EA","1,357",EA,each,N108,DGMEPM,65T,(L) DLP 4-2-3-2,8/19/2013,0.17 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,8/20/2019,48884,8/19/2013,,,,
00-0000118:NSN,POWER SUPPLY,6130,"Converters, Nonrotat",#,Not assigned,000M,7 CFSD Disposal,FD,354282S,16,0.000 EA,0.000 EA,17.000 EA,7,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,2/10/2016,"102,078.94 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,2789265,5/26/2022,,,,
00-0000118:NSN,POWER SUPPLY,6130,"Converters, Nonrotat",#,Not assigned,000M,7 CFSD Disposal,FD,354282Z,19,0.000 EA,0.000 EA,17.000 EA,10,EA,each,A31S,DGAEPM,52J,(A) DAP 6-2-3A,2/10/2016,"102,078.94 CAD",1B,D,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,#,2789264,5/26/2022,,,,
00-0010060:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,000J,7 CFSD SERV,MB,246177A2A,7,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A305,DGAEPM,52N,(A) DAP 6-2-4K,11/20/2017,94.04 CAD,1M,X,ITEM IS UNDER CRITICAL CONTROL,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/20/2018,1597301,8/28/2018,,,,
00-0011430:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,000J,7 CFSD SERV,MB,258181K2B,2,0.000 EA,0.000 EA,14.000 EA,14,EA,each,L20E,DGLEPM,44T,(L) DLP 4-2-4-2,9/29/2014,37.80 CAD,1B,P,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,704647,9/20/2021,,,,
00-0011833:NSN,"SEAL,PLAIN ENCASED",5330,Packing/Gasket Mater,#,Not assigned,000J,7 CFSD SERV,MB,234212M1B,2,0.000 EA,0.000 EA,8.000 EA,8,EA,each,ND01,DGMEPM,57H,(A) DAP4-3-5-2-4-5,8/19/2013,82.60 CAD,1B,X,ITEM UNDER REVIEW FOR SURPLUS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,49054,8/19/2013,,,,
00-0013031:NSN,"RESISTOR,FIXED,COMPOSITION",5905,Resistors,Q,Q,000J,7 CFSD SERV,MB,222208J6C,3,0.000 EA,0.000 EA,81.000 EA,81,EA,each,C470,COMMMON,49R,(P) D SVCS C 23333,8/19/2013,0.22 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,49107,8/19/2013,,,,
00-0013256:NSN,"CORE,ELECTROMAGNETIC COMPONENT",5950,Coils/Transformers,#,Not assigned,000J,7 CFSD SERV,MB,254179H2C,2,0.000 EA,0.000 EA,1.000 EA,1,EA,each,C484,COMMMON,48S,(P) D SVC C 2-3-5,8/19/2013,1.14 CAD,4G,X,US DOD STOCKED - COLOG ELIGIBLE,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/26/2018,49271,8/19/2013,,,,
00-0013533:NSN,"NIPPLE,PIPE",4730,Hose/Pipe Fittings,#,Not assigned,000J,7 CFSD SERV,MB,222244K1B,6,0.000 EA,0.000 EA,44.000 EA,44,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,8/19/2013,97.26 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,11/7/2017,1587635,11/7/2017,,,,
00-0013539:NSN,"ARM,SUPPORT",2540,Vehicular Furniture,#,Not assigned,000J,7 CFSD SERV,PP,346207Q,12,0.000 EA,0.000 EA,10.000 EA,10,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,8/19/2013,463.98 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,49453,8/19/2013,,,,
00-0013542:NSN,"BRACKET,BLADE ARM,B",2540,Vehicular Furniture,#,Not assigned,000J,7 CFSD SERV,MA,2.30E+06,8,0.000 EA,0.000 EA,3.000 EA,3,EA,each,L634,DGLEPM,65R,(L) DLP 4-2-3-2,8/19/2013,81.67 CAD,1Z,X,NDHQ CONTROLLED ITEM,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,7/10/2019,2003495,7/10/2019,,,,
